"List of Candidates. The file was created on Thursday, September 2, 2021."										
Liste des candidats. Le fichier a été créé le jeudi 2 septembre 2021.										
										
Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation  / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
47011	Saskatoon--University	Saskatoon--University	Green Party of Canada	Le Parti Vert du Canada	Hunter	North-Marie			30-Aug-21	4:00:00
47011	Saskatoon--University	Saskatoon--University	People's Party of Canada	Parti populaire du Canada	Penteado	Guto			27-Aug-21	8:30:00
47011	Saskatoon--University	Saskatoon--University	Conservative Party of Canada	Parti conservateur du Canada	Tochor	Corey		(306) 292-6457	21-Aug-21	11:30:00
47011	Saskatoon--University	Saskatoon--University	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Wesolowski	Carl A		(306) 361-1478	23-Aug-21	7:00:00
47012	Saskatoon West	Saskatoon-Ouest	People's Party of Canada	Parti populaire du Canada	Boychuk	Kevin		(306) 717-2232	26-Aug-21	8:30:00
47012	Saskatoon West	Saskatoon-Ouest	New Democratic Party	Nouveau Parti démocratique	Doucette	Robert		(306) 361-4637	23-Aug-21	8:00:00
47012	Saskatoon West	Saskatoon-Ouest	Green Party of Canada	Le Parti Vert du Canada	Greenfield	Dave			27-Aug-21	7:00:00
47012	Saskatoon West	Saskatoon-Ouest	Liberal Party of Canada	Parti libéral du Canada	Rajakumar	Ruben			26-Aug-21	3:00:00
47012	Saskatoon West	Saskatoon-Ouest	Conservative Party of Canada	Parti conservateur du Canada	Redekopp	Brad			21-Aug-21	9:00:00
47013	Souris--Moose Mountain	Souris--Moose Mountain	Liberal Party of Canada	Parti libéral du Canada	Ames-Sinclair	Javin			30-Aug-21	5:00:00
47013	Souris--Moose Mountain	Souris--Moose Mountain	Maverick Party	Maverick Party	Douglas	Greg			30-Aug-21	1:00:00
47013	Souris--Moose Mountain	Souris--Moose Mountain	New Democratic Party	Nouveau Parti démocratique	Duerr	Hannah Ann			30-Aug-21	5:00:00
47013	Souris--Moose Mountain	Souris--Moose Mountain	Conservative Party of Canada	Parti conservateur du Canada	Kitchen	Robert		(306) 687-0405	23-Aug-21	4:00:00
47013	Souris--Moose Mountain	Souris--Moose Mountain	People's Party of Canada	Parti populaire du Canada	Neufeld	Diane			30-Aug-21	7:30:00
47014	Yorkton--Melville	Yorkton--Melville	Liberal Party of Canada	Parti libéral du Canada	Ames-Sinclair	Jordan			29-Aug-21	9:30:00
47014	Yorkton--Melville	Yorkton--Melville	Green Party of Canada	Le Parti Vert du Canada	Brooks	Valerie			27-Aug-21	6:00:00
47014	Yorkton--Melville	Yorkton--Melville	Maverick Party	Maverick Party	Loucks	Denise		(306) 794-3424	23-Aug-21	8:00:00
47014	Yorkton--Melville	Yorkton--Melville	People's Party of Canada	Parti populaire du Canada	Robertson	Braden		(306) 620-8929	25-Aug-21	4:00:00
47014	Yorkton--Melville	Yorkton--Melville	New Democratic Party	Nouveau Parti démocratique	Rust	Halsten David			30-Aug-21	6:00:00
47014	Yorkton--Melville	Yorkton--Melville	Conservative Party of Canada	Parti conservateur du Canada	Wagantall	Cathay		(306) 782-7360	23-Aug-21	5:30:00
48001	Banff--Airdrie	Banff--Airdrie	Green Party of Canada	Le Parti Vert du Canada	Blum	Aidan			28-Aug-21	11:00:00
48001	Banff--Airdrie	Banff--Airdrie	Maverick Party	Maverick Party	Elnaga	Tariq		(825) 994-6242	20-Aug-21	11:30:00
48001	Banff--Airdrie	Banff--Airdrie	Liberal Party of Canada	Parti libéral du Canada	Gamble	David			28-Aug-21	6:00:00
48001	Banff--Airdrie	Banff--Airdrie	Independent	Indépendant(e)	O'Driscoll	Caroline		(587) 229-7990	27-Aug-21	4:00:00
48001	Banff--Airdrie	Banff--Airdrie	Conservative Party of Canada	Parti conservateur du Canada	Richards	Blake		1 877 379-9597	20-Aug-21	2:30:00
48001	Banff--Airdrie	Banff--Airdrie	No Affiliation	Aucune appartenance	Sloan	Derek		(403) 363-8553	22-Aug-21	10:30:00
48001	Banff--Airdrie	Banff--Airdrie	Independent	Indépendant(e)	Voss	Ron		(403) 932-1892	22-Aug-21	9:00:00
48001	Banff--Airdrie	Banff--Airdrie	People's Party of Canada	Parti populaire du Canada	Wellwood	Nadine			19-Aug-21	12:00:00
48001	Banff--Airdrie	Banff--Airdrie	New Democratic Party	Nouveau Parti démocratique	Zagoda	Sarah			28-Aug-21	3:00:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	Green Party of Canada	Le Parti Vert du Canada	Brisbin	Daniel			29-Aug-21	9:00:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	Maverick Party	Maverick Party	Golka	Jeff		(780) 608-4447	20-Aug-21	10:30:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	Veterans Coalition Party of Canada	Parti de la coalition des anciens combattants du Canada	Irwin	John			26-Aug-21	11:30:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	Conservative Party of Canada	Parti conservateur du Canada	Kurek	Damien		(403) 575-5625	21-Aug-21	7:00:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	Liberal Party of Canada	Parti libéral du Canada	McLeod	Leah Diane			29-Aug-21	7:30:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	New Democratic Party	Nouveau Parti démocratique	Ratushniak	Tonya			29-Aug-21	6:30:00
48002	Battle River--Crowfoot	Battle River--Crowfoot	People's Party of Canada	Parti populaire du Canada	Trepanier	Dennis		(403) 392-3950	23-Aug-21	11:30:00
48003	Bow River	Bow River	Maverick Party	Maverick Party	Bliss	Orrin		(403) 803-7350	21-Aug-21	12:00:00
48003	Bow River	Bow River	People's Party of Canada	Parti populaire du Canada	Bridges	Jonathan			23-Aug-21	8:30:00
48003	Bow River	Bow River	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Lipp	Tom		(403) 668-0480	23-Aug-21	10:00:00
48003	Bow River	Bow River	New Democratic Party	Nouveau Parti démocratique	MacLean	Michael			31-Aug-21	12:30:00
48003	Bow River	Bow River	Liberal Party of Canada	Parti libéral du Canada	Shawile	Getu		(403) 604-4846	26-Aug-21	3:00:00
48003	Bow River	Bow River	Conservative Party of Canada	Parti conservateur du Canada	Shields	Martin		(403) 370-6495	21-Aug-21	12:00:00
48004	Calgary Centre	Calgary-Centre	New Democratic Party	Nouveau Parti démocratique	Estevez Moreno	Juan		(587) 480-7360	24-Aug-21	11:30:00
48004	Calgary Centre	Calgary-Centre	Liberal Party of Canada	Parti libéral du Canada	Grover	Sabrina		(587) 351-5909	25-Aug-21	8:30:00
48004	Calgary Centre	Calgary-Centre	Conservative Party of Canada	Parti conservateur du Canada	McLean	Greg		(403) 614-1934	21-Aug-21	10:30:00
48004	Calgary Centre	Calgary-Centre	Green Party of Canada	Le Parti Vert du Canada	Mullins	Austin		(403) 493-8781	28-Aug-21	9:00:00
48004	Calgary Centre	Calgary-Centre	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Pawlowski	Dawid		(403) 990-1916	28-Aug-21	7:00:00
48005	Calgary Confederation	Calgary Confederation	New Democratic Party	Nouveau Parti démocratique	Akter	Gulshan		(403) 554-8663	26-Aug-21	7:30:00
48005	Calgary Confederation	Calgary Confederation	People's Party of Canada	Parti populaire du Canada	Gao	Edward			28-Aug-21	9:00:00
48005	Calgary Confederation	Calgary Confederation	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Hunter	Kevan		(613) 792-4475	25-Aug-21	12:30:00
48005	Calgary Confederation	Calgary Confederation	Green Party of Canada	Le Parti Vert du Canada	Odd	Natalie			23-Aug-21	5:00:00
48005	Calgary Confederation	Calgary Confederation	Liberal Party of Canada	Parti libéral du Canada	Sigler	Murray		(403) 830-9235	26-Aug-21	7:00:00
48005	Calgary Confederation	Calgary Confederation	Conservative Party of Canada	Parti conservateur du Canada	Webber	Len		(825) 438-3835	26-Aug-21	8:00:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	New Democratic Party	Nouveau Parti démocratique	Gunn	Keira			31-Aug-21	7:30:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	Conservative Party of Canada	Parti conservateur du Canada	Hallan	Jasraj Singh		(403) 918-3101	21-Aug-21	5:00:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	People's Party of Canada	Parti populaire du Canada	Holub	Dwayne			25-Aug-21	11:30:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	Green Party of Canada	Le Parti Vert du Canada	Rutherford	Carey			24-Aug-21	12:30:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	Liberal Party of Canada	Parti libéral du Canada	Stein	Jordan			30-Aug-21	10:00:00
48006	Calgary Forest Lawn	Calgary Forest Lawn	Communist Party of Canada	Parti communiste du Canada	Trautman	Jonathan			1-Sep-21	1:00:00
48007	Calgary Heritage	Calgary Heritage	People's Party of Canada	Parti populaire du Canada	Bedard	Bailey			28-Aug-21	2:00:00
48007	Calgary Heritage	Calgary Heritage	Conservative Party of Canada	Parti conservateur du Canada	Benzen	Bob		(403) 651-7270	24-Aug-21	2:00:00
48007	Calgary Heritage	Calgary Heritage	Parti Rhinocéros Party	Parti Rhinocéros Party	Dejewski	Mark			29-Aug-21	7:00:00
48007	Calgary Heritage	Calgary Heritage	Liberal Party of Canada	Parti libéral du Canada	Forsyth	Scott		(403) 404-8128	29-Aug-21	6:00:00
48007	Calgary Heritage	Calgary Heritage	Maverick Party	Maverick Party	Freeman	Annelise			19-Aug-21	2:00:00
48007	Calgary Heritage	Calgary Heritage	New Democratic Party	Nouveau Parti démocratique	Johnson	Kathleen M.			27-Aug-21	9:30:00
48007	Calgary Heritage	Calgary Heritage	Green Party of Canada	Le Parti Vert du Canada	Labell	Malka			30-Aug-21	8:00:00
48008	Calgary Midnapore	Calgary Midnapore	New Democratic Party	Nouveau Parti démocratique	Bhachu	Gurmit		(403) 923-1469	25-Aug-21	10:00:00
48008	Calgary Midnapore	Calgary Midnapore	People's Party of Canada	Parti populaire du Canada	Hagel	Jonathan			26-Aug-21	4:00:00
48008	Calgary Midnapore	Calgary Midnapore	Conservative Party of Canada	Parti conservateur du Canada	Kusie	Stephanie		(403) 455-3140	25-Aug-21	4:30:00
48008	Calgary Midnapore	Calgary Midnapore	Maverick Party	Maverick Party	Magolan	Matt			25-Aug-21	4:00:00
48008	Calgary Midnapore	Calgary Midnapore	Green Party of Canada	Le Parti Vert du Canada	Pulsifer	Shaun T.			30-Aug-21	4:00:00
48008	Calgary Midnapore	Calgary Midnapore	Liberal Party of Canada	Parti libéral du Canada	Zafar	Zarnab		(825) 735-4131	30-Aug-21	4:30:00
48009	Calgary Nose Hill	Calgary Nose Hill	New Democratic Party	Nouveau Parti démocratique	Ahmed	Khalis			27-Aug-21	10:00:00
48009	Calgary Nose Hill	Calgary Nose Hill	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Askin	Peggy		(613) 792-4475	24-Aug-21	6:30:00
48009	Calgary Nose Hill	Calgary Nose Hill	Liberal Party of Canada	Parti libéral du Canada	Dale-Walker	Jessica			29-Aug-21	7:00:00
48009	Calgary Nose Hill	Calgary Nose Hill	National Citizens Alliance of Canada	Alliance Nationale des Citoyens du Canada	Garvey	Stephen J		(833) 822-8330	26-Aug-21	1:30:00
48009	Calgary Nose Hill	Calgary Nose Hill	Green Party of Canada	Le Parti Vert du Canada	Hansell	Judson			30-Aug-21	1:30:00
48009	Calgary Nose Hill	Calgary Nose Hill	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Heather	Larry R.		(403) 253-0676	20-Aug-21	10:00:00
48009	Calgary Nose Hill	Calgary Nose Hill	Conservative Party of Canada	Parti conservateur du Canada	Rempel Garner	Michelle		(403) 667-5813	20-Aug-21	9:00:00
48009	Calgary Nose Hill	Calgary Nose Hill	People's Party of Canada	Parti populaire du Canada	Scott	Kyle			27-Aug-21	9:30:00
48009	Calgary Nose Hill	Calgary Nose Hill	Parti Rhinocéros Party	Parti Rhinocéros Party	Wang	Vanessa			28-Aug-21	11:30:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	Conservative Party of Canada	Parti conservateur du Canada	Kelly	Pat		(825) 437-2286	18-Aug-21	11:30:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	New Democratic Party	Nouveau Parti démocratique	Kieren	Jena Dianne			30-Aug-21	6:30:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	People's Party of Canada	Parti populaire du Canada	MacLeod	Rory			29-Aug-21	8:00:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	Liberal Party of Canada	Parti libéral du Canada	Munir	Shahnaz			24-Aug-21	6:30:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	Maverick Party	Maverick Party	Robinson	David			22-Aug-21	8:00:00
48010	Calgary Rocky Ridge	Calgary Rocky Ridge	Green Party of Canada	Le Parti Vert du Canada	Wright	Catriona			27-Aug-21	11:30:00
48011	Calgary Shepard	Calgary Shepard	National Citizens Alliance of Canada	Alliance Nationale des Citoyens du Canada	Halmo	Jesse			28-Aug-21	1:31:00
48011	Calgary Shepard	Calgary Shepard	New Democratic Party	Nouveau Parti démocratique	Jessel	Raj			30-Aug-21	9:30:00
48011	Calgary Shepard	Calgary Shepard	Conservative Party of Canada	Parti conservateur du Canada	Kmiec	Tom			22-Aug-21	10:00:00
48011	Calgary Shepard	Calgary Shepard	Maverick Party	Maverick Party	Lee	Andrea		(403) 966-3015	26-Aug-21	3:35:00
48011	Calgary Shepard	Calgary Shepard	Liberal Party of Canada	Parti libéral du Canada	Macdonald	Cam			30-Aug-21	9:45:00
48011	Calgary Shepard	Calgary Shepard	Independent	Indépendant(e)	Muirhead	Konstantine			30-Aug-21	7:31:00
48011	Calgary Shepard	Calgary Shepard	Green Party of Canada	Le Parti Vert du Canada	Tanaka	Evelyn			24-Aug-21	2:56:00
48011	Calgary Shepard	Calgary Shepard	People's Party of Canada	Parti populaire du Canada	Vaillant	Ron			29-Aug-21	10:52:00
48012	Calgary Signal Hill	Calgary Signal Hill	Maverick Party	Maverick Party	Copp	Ajay		(587) 872-7463	22-Aug-21	9:30:00
48012	Calgary Signal Hill	Calgary Signal Hill	Green Party of Canada	Le Parti Vert du Canada	Corrigall	Keiran			24-Aug-21	12:00:00
48012	Calgary Signal Hill	Calgary Signal Hill	People's Party of Canada	Parti populaire du Canada	Debrey	Nick			25-Aug-21	4:00:00
48012	Calgary Signal Hill	Calgary Signal Hill	Liberal Party of Canada	Parti libéral du Canada	Duncan	Shawn			28-Aug-21	4:30:00
48012	Calgary Signal Hill	Calgary Signal Hill	New Democratic Party	Nouveau Parti démocratique	King	Patrick			28-Aug-21	11:30:00
48012	Calgary Signal Hill	Calgary Signal Hill	Conservative Party of Canada	Parti conservateur du Canada	Liepert	Ron		(403) 744-5436	26-Aug-21	3:00:00
48013	Calgary Skyview	Calgary Skyview	Independent	Indépendant(e)	Aquart	Lee			27-Aug-21	7:30:00
48013	Calgary Skyview	Calgary Skyview	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Blanchard	Daniel		(613) 792-4475	26-Aug-21	1:30:00
48013	Calgary Skyview	Calgary Skyview	Liberal Party of Canada	Parti libéral du Canada	Chahal	George			26-Aug-21	10:00:00
48013	Calgary Skyview	Calgary Skyview	People's Party of Canada	Parti populaire du Canada	Dhillon	Harry		(403) 605-2727	27-Aug-21	4:30:00
48013	Calgary Skyview	Calgary Skyview	New Democratic Party	Nouveau Parti démocratique	Gill	Gurinder Singh			26-Aug-21	11:30:00
48013	Calgary Skyview	Calgary Skyview	Centrist Party of Canada	Parti Centriste du Canada	Rana	Nadeem		(403) 680-0839	27-Aug-21	4:30:00
48013	Calgary Skyview	Calgary Skyview	Conservative Party of Canada	Parti conservateur du Canada	Sahota	Jag			26-Aug-21	8:30:00
48013	Calgary Skyview	Calgary Skyview	Green Party of Canada	Le Parti Vert du Canada	So	Janna			27-Aug-21	10:00:00
48014	Edmonton Centre	Edmonton-Centre	Liberal Party of Canada	Parti libéral du Canada	Boissonnault	Randy		(587) 460-6739	22-Aug-21	3:00:00
48014	Edmonton Centre	Edmonton-Centre	People's Party of Canada	Parti populaire du Canada	Crocker	Brock			28-Aug-21	5:30:00
48014	Edmonton Centre	Edmonton-Centre	Conservative Party of Canada	Parti conservateur du Canada	Cumming	James		(780) 667-6119	22-Aug-21	4:30:00
48014	Edmonton Centre	Edmonton-Centre	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Edwards	Merryn		(613) 792-4475	26-Aug-21	4:30:00
48014	Edmonton Centre	Edmonton-Centre	Libertarian Party of Canada	Parti Libertarien du Canada	Keefe	Valerie		(587) 785-2727	30-Aug-21	11:00:00
48014	Edmonton Centre	Edmonton-Centre	New Democratic Party	Nouveau Parti démocratique	MacKenzie	Heather		(780) 566-9070	22-Aug-21	12:30:00
48015	Edmonton Griesbach	Edmonton Griesbach	Communist Party of Canada	Parti communiste du Canada	Boykowich	Alex		(825) 461-9125	31-Aug-21	3:30:00
48015	Edmonton Griesbach	Edmonton Griesbach	New Democratic Party	Nouveau Parti démocratique	Desjarlais	Blake		(587) 487-8077	23-Aug-21	2:00:00
48015	Edmonton Griesbach	Edmonton Griesbach	Conservative Party of Canada	Parti conservateur du Canada	Diotte	Kerry		(780) 701-0040	26-Aug-21	11:30:00
48015	Edmonton Griesbach	Edmonton Griesbach	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Joyce	Mary		(613) 792-4475	26-Aug-21	7:00:00
48015	Edmonton Griesbach	Edmonton Griesbach	Green Party of Canada	Le Parti Vert du Canada	Lau	Heather			31-Aug-21	4:00:00
48015	Edmonton Griesbach	Edmonton Griesbach	People's Party of Canada	Parti populaire du Canada	Matty	Thomas		(587) 812-4023	25-Aug-21	2:00:00
48015	Edmonton Griesbach	Edmonton Griesbach	Liberal Party of Canada	Parti libéral du Canada	Mohamud	Habiba		(780) 702-4994	28-Aug-21	3:00:00
48015	Edmonton Griesbach	Edmonton Griesbach	Libertarian Party of Canada	Parti Libertarien du Canada	Watson	Morgan			30-Aug-21	2:00:00
48016	Edmonton Manning	Edmonton Manning	Conservative Party of Canada	Parti conservateur du Canada	Aboultaif	Ziad			21-Aug-21	4:00:00
48016	Edmonton Manning	Edmonton Manning	People's Party of Canada	Parti populaire du Canada	Halvorson	Martin			30-Aug-21	4:00:00
48016	Edmonton Manning	Edmonton Manning	Liberal Party of Canada	Parti libéral du Canada	Smith	Donna Lynn			29-Aug-21	2:30:00
48016	Edmonton Manning	Edmonton Manning	New Democratic Party	Nouveau Parti démocratique	St. Germain	Charmaine		(780) 652-2270	29-Aug-21	6:30:00
48016	Edmonton Manning	Edmonton Manning	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Vachon	Andre		(613) 792-4475	28-Aug-21	1:30:00
48017	Edmonton Mill Woods	Edmonton Mill Woods	Liberal Party of Canada	Parti libéral du Canada	Henderson	Ben		(780) 900-5545	27-Aug-21	2:30:00
48017	Edmonton Mill Woods	Edmonton Mill Woods	New Democratic Party	Nouveau Parti démocratique	Logan	Nigel		(780) 616-0048	28-Aug-21	2:30:00
48017	Edmonton Mill Woods	Edmonton Mill Woods	People's Party of Canada	Parti populaire du Canada	McCormack	Paul Edward		(780) 862-1051	25-Aug-21	5:30:00
48017	Edmonton Mill Woods	Edmonton Mill Woods	Communist Party of Canada	Parti communiste du Canada	Rankin	Naomi		(780) 934-7893	27-Aug-21	12:30:00
48017	Edmonton Mill Woods	Edmonton Mill Woods	Conservative Party of Canada	Parti conservateur du Canada	Uppal	Tim		(780) 702-7202	22-Aug-21	5:00:00
48018	Edmonton Riverbend	Edmonton Riverbend	Liberal Party of Canada	Parti libéral du Canada	Chaudary	Tariq			21-Aug-21	12:00:00
48018	Edmonton Riverbend	Edmonton Riverbend	New Democratic Party	Nouveau Parti démocratique	Gray	Shawn			28-Aug-21	4:00:00
48018	Edmonton Riverbend	Edmonton Riverbend	Green Party of Canada	Le Parti Vert du Canada	Hoffman	Melanie			27-Aug-21	5:30:00
48018	Edmonton Riverbend	Edmonton Riverbend	Conservative Party of Canada	Parti conservateur du Canada	Jeneroux	Matt		(587) 524-2266	27-Aug-21	12:00:00
48018	Edmonton Riverbend	Edmonton Riverbend	People's Party of Canada	Parti populaire du Canada	Peace	Jennifer		(780) 937-6688	27-Aug-21	7:00:00
48019	Edmonton Strathcona	Edmonton Strathcona	Green Party of Canada	Le Parti Vert du Canada	Green	Kelly		(587) 990-2808	27-Aug-21	2:30:00
48019	Edmonton Strathcona	Edmonton Strathcona	People's Party of Canada	Parti populaire du Canada	Janke	Wes			29-Aug-21	7:30:00
48019	Edmonton Strathcona	Edmonton Strathcona	New Democratic Party	Nouveau Parti démocratique	McPherson	Heather		(587) 487-0160	23-Aug-21	8:00:00
48019	Edmonton Strathcona	Edmonton Strathcona	Liberal Party of Canada	Parti libéral du Canada	Mohamed	Hibo		(587) 594-8435	29-Aug-21	3:30:00
48019	Edmonton Strathcona	Edmonton Strathcona	Conservative Party of Canada	Parti conservateur du Canada	Obasan	Tunde		(825) 436-8003	23-Aug-21	7:00:00
48019	Edmonton Strathcona	Edmonton Strathcona	Libertarian Party of Canada	Parti Libertarien du Canada	Stinson	Malcolm			30-Aug-21	3:30:00
48020	Edmonton West	Edmonton-Ouest	Liberal Party of Canada	Parti libéral du Canada	Brown	Adam Wilson		(587) 409-4071	27-Aug-21	3:30:00
48020	Edmonton West	Edmonton-Ouest	New Democratic Party	Nouveau Parti démocratique	Hunter	Sandra		(780) 652-1738	27-Aug-21	10:00:00
48020	Edmonton West	Edmonton-Ouest	People's Party of Canada	Parti populaire du Canada	Kinzel	Brent			20-Aug-21	9:30:00
48020	Edmonton West	Edmonton-Ouest	Conservative Party of Canada	Parti conservateur du Canada	McCauley	Kelly		(780) 306-7566	23-Aug-21	10:30:00
48020	Edmonton West	Edmonton-Ouest	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Morton	Peggy		(613) 792-4475	25-Aug-21	9:00:00
48021	Edmonton--Wetaskiwin	Edmonton--Wetaskiwin	People's Party of Canada	Parti populaire du Canada	Beauchamp	Tyler			28-Aug-21	12:30:00
48021	Edmonton--Wetaskiwin	Edmonton--Wetaskiwin	Veterans Coalition Party of Canada	Parti de la coalition des anciens combattants du Canada	Calliou	Travis		(780) 241-0382	26-Aug-21	2:00:00
48021	Edmonton--Wetaskiwin	Edmonton--Wetaskiwin	New Democratic Party	Nouveau Parti démocratique	Charles	Hugo			24-Aug-21	2:00:00
48021	Edmonton--Wetaskiwin	Edmonton--Wetaskiwin	Conservative Party of Canada	Parti conservateur du Canada	Lake	Mike			22-Aug-21	8:00:00
48021	Edmonton--Wetaskiwin	Edmonton--Wetaskiwin	Liberal Party of Canada	Parti libéral du Canada	Thiering	Ron		(780) 441-9249	28-Aug-21	10:00:00
48022	Foothills	Foothills	Conservative Party of Canada	Parti conservateur du Canada	Barlow	John		(403) 336-7407	27-Aug-21	10:30:00
48022	Foothills	Foothills	People's Party of Canada	Parti populaire du Canada	Hunter	Daniel			29-Aug-21	12:30:00
48022	Foothills	Foothills	Green Party of Canada	Le Parti Vert du Canada	Rogers	Brett		(587) 329-3275	30-Aug-21	9:30:00
48022	Foothills	Foothills	Liberal Party of Canada	Parti libéral du Canada	Shimp	Paula			30-Aug-21	5:30:00
48022	Foothills	Foothills	New Democratic Party	Nouveau Parti démocratique	Traxel	Michelle			28-Aug-21	2:00:00
48022	Foothills	Foothills	Maverick Party	Maverick Party	Wylie	Josh			19-Aug-21	5:00:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	Liberal Party of Canada	Parti libéral du Canada	Abdi	Abdifatah			28-Aug-21	2:30:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	Green Party of Canada	Le Parti Vert du Canada	Deheer	Brian		(780) 404-7272	27-Aug-21	2:00:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	Conservative Party of Canada	Parti conservateur du Canada	Goodridge	Laila			20-Aug-21	9:30:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	People's Party of Canada	Parti populaire du Canada	McDonald	Shawn		(587) 557-2132	28-Aug-21	3:30:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	Maverick Party	Maverick Party	Meyers	Jonathan			22-Aug-21	6:00:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	New Democratic Party	Nouveau Parti démocratique	Robinson	Garnett			30-Aug-21	4:30:00
48023	Fort McMurray--Cold Lake	Fort McMurray--Cold Lake	Veterans Coalition Party of Canada	Parti de la coalition des anciens combattants du Canada	Whitmore	Hughie Shane			28-Aug-21	7:30:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	Liberal Party of Canada	Parti libéral du Canada	Campbell	Dan			29-Aug-21	12:00:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	Parti Rhinocéros Party	Parti Rhinocéros Party	Eckstrom	Donovan			29-Aug-21	6:00:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	People's Party of Canada	Parti populaire du Canada	McLean	Shawn			21-Aug-21	12:00:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	Maverick Party	Maverick Party	Ralph	Ambrose		(780) 831-7376	19-Aug-21	12:00:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	New Democratic Party	Nouveau Parti démocratique	Villebrun	Jennifer			27-Aug-21	12:00:00
48024	Grande Prairie--Mackenzie	Grande Prairie--Mackenzie	Conservative Party of Canada	Parti conservateur du Canada	Warkentin	Chris			21-Aug-21	12:00:00
48025	Lakeland	Lakeland	New Democratic Party	Nouveau Parti démocratique	Bissonnette	Des			29-Aug-21	7:00:00
48025	Lakeland	Lakeland	Green Party of Canada	Le Parti Vert du Canada	Brunner	Kira			30-Aug-21	6:30:00
48025	Lakeland	Lakeland	People's Party of Canada	Parti populaire du Canada	McCormack	Ann			26-Aug-21	12:00:00
48025	Lakeland	Lakeland	Maverick Party	Maverick Party	Sirett	Fred			25-Aug-21	8:30:00
48025	Lakeland	Lakeland	Conservative Party of Canada	Parti conservateur du Canada	Stubbs	Shannon		(855) 561-4617	26-Aug-21	12:30:00
48025	Lakeland	Lakeland	Liberal Party of Canada	Parti libéral du Canada	Turvey	John			27-Aug-21	3:00:00
48026	Lethbridge	Lethbridge	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Capp	Geoffrey			28-Aug-21	1:30:00
48026	Lethbridge	Lethbridge	Conservative Party of Canada	Parti conservateur du Canada	Harder	Rachael		(403) 984-1467	21-Aug-21	5:00:00
48026	Lethbridge	Lethbridge	Liberal Party of Canada	Parti libéral du Canada	Hargreaves	Devon		(587) 327-6020	21-Aug-21	1:00:00
48026	Lethbridge	Lethbridge	People's Party of Canada	Parti populaire du Canada	Hovan	Kimmie			24-Aug-21	2:00:00
48026	Lethbridge	Lethbridge	New Democratic Party	Nouveau Parti démocratique	Perez	Elaine			29-Aug-21	12:30:00
48026	Lethbridge	Lethbridge	Independent	Indépendant(e)	Siever	Kim			30-Aug-21	5:10:00
48027	Medicine Hat--Cardston--Warner	Medicine Hat--Cardston--Warner	Green Party of Canada	Le Parti Vert du Canada	Bruised Head	Diandra			31-Aug-21	5:30:00
